Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCA_047663525.1	IASCAAS_PekinDuck_T2T	Anas platyrhynchos	Pekin duck				ZD024472	female		Complete Genome	2025-02-12	JBLNIF01	41
GCF_047663525.1	IASCAAS_PekinDuck_T2T	Anas platyrhynchos	Pekin duck				ZD024472	female	GCF_047663525.1-RS_2025_03	Complete Genome	2025-02-12	JBLNIF01	41
GCA_048771995.1	bTaeGut7.mat	Taeniopygia guttata					bTaeGut7	female		Chromosome	2025-03-21	JBMDLN01	41
GCF_048771995.1	bTaeGut7.mat	Taeniopygia guttata							GCF_048771995.1-RS_2025_04	Chromosome	2025-03-21	JBMDLN01	41
GCA_048319975.1	ASM4831997v1	Cairina moschata	yongchun					male		Chromosome	2025-03-04		39
GCA_045791835.1	ASM4579183v1	Pavo cristatus	white peafowl				WP-1	female		Chromosome	2024-12-06	JBGFCS01	38
GCA_016699485.1	bGalGal1.mat.broiler.GRCg7b	Gallus gallus	Cross of Broiler mother + white leghorn layer father				bGalGal1	female		Chromosome	2021-01-19	JAENSK01	213
GCF_016699485.2	bGalGal1.mat.broiler.GRCg7b	Gallus gallus					bGalGal1	female	NCBI Gallus gallus Annotation Release 106	Chromosome	2021-01-19	JAENSK01	213
GCA_001577835.2	Coturnix japonica 2.1	Coturnix japonica					7356	male		Chromosome	2016-03-01	LSZS01	2530
GCF_001577835.2	Coturnix japonica 2.1	Coturnix japonica					7356	male	NCBI Coturnix japonica Annotation Release 101	Chromosome	2016-03-01	LSZS01	2530
GCA_040182565.1	Taihu_goose_T2T_genome	Anser cygnoides	goose				HZ-2024a	female		Chromosome	2024-06-14	JBECYW01	74
GCF_040182565.1	Taihu_goose_T2T_genome	Anser cygnoides	goose				HZ-2024a	female	GCF_040182565.1-RS_2024_07	Chromosome	2024-06-14	JBECYW01	74
GCA_000146605.4	Turkey_5.1	Meleagris gallopavo	Aviagen turkey brand Nicholas breeding stock				NT-WF06-2002-E0010	female		Chromosome	2019-10-21	ADDD02	187694
GCF_000146605.3	Turkey_5.1	Meleagris gallopavo	Aviagen turkey brand Nicholas breeding stock				NT-WF06-2002-E0010	female	NCBI Meleagris gallopavo Annotation Release 103	Chromosome	2019-10-21	ADDD02	187694
GCA_036013475.2	bColLiv1.pat.W.v2	Columba livia	racing homer				bColLiv1	female		Chromosome	2024-04-08	JAYMZD02	869
GCF_036013475.1	bColLiv1.pat.W.v2	Columba livia	racing homer				bColLiv1	female	GCF_036013475.1-RS_2024_05	Chromosome	2024-04-08	JAYMZD02	869
GCA_036370855.1	bDroNov1.hap1	Dromaius novaehollandiae					bDroNov1	female		Chromosome	2024-02-26	JAZAQV01	271
GCF_036370855.1	bDroNov1.hap1	Dromaius novaehollandiae					bDroNov1	female	GCF_036370855.1-RS_2024_04	Chromosome	2024-02-26	JAZAQV01	271
GCF_900496995.4	bAquChr1.4	Aquila chrysaetos chrysaetos							NCBI Aquila chrysaetos chrysaetos Annotation Release 101	Chromosome	2021-03-26	UFQG04	144
GCA_022539315.2	serCan2020	Serinus canaria					serCan28SL12	female		Chromosome	2022-08-25	JAKSEN01	684
GCF_022539315.1	serCan2020	Serinus canaria					serCan28SL12	female	GCF_022539315.1-RS_2023_02	Chromosome	2022-08-25	JAKSEN01	684
GCA_964211835.1	bAnsAns1.hap1.1	Anser anser								Chromosome	2024-07-31	CAXOSM01	818
GCA_040807025.1	bStrCam1.hap1	Struthio camelus					bStrCam1	female		Chromosome	2024-07-22	JBFMIB01	262
GCF_040807025.1	bStrCam1.hap1	Struthio camelus					bStrCam1	female	GCF_040807025.1-RS_2024_10	Chromosome	2024-07-22	JBFMIB01	262
GCA_001522545.3	Parus_major1.1	Parus major					Abel	male		Chromosome	2019-01-15	JRXK01	1674
GCF_001522545.3	Parus_major1.1	Parus major					Abel	male	NCBI Parus major Annotation Release 102	Chromosome	2019-01-15	JRXK01	1674
GCA_035770615.1	bMelMel2.pri	Melospiza melodia melodia					bMelMel2	female		Chromosome	2024-01-24	JAYKKP01	353
GCF_035770615.1	bMelMel2.pri	Melospiza melodia melodia					bMelMel2	female	GCF_035770615.1-RS_2024_02	Chromosome	2024-01-24	JAYKKP01	353
GCA_036417665.1	bPasDom1.hap1	Passer domesticus					bPasDom1	female		Chromosome	2024-02-07	JAZGKA01	334
GCF_036417665.1	bPasDom1.hap1	Passer domesticus					bPasDom1	female	GCF_036417665.1-RS_2024_04	Chromosome	2024-02-07	JAZGKA01	334
GCA_012275295.1	bMelUnd1.mat.Z	Melopsittacus undulatus					bMelUnd1	female		Chromosome	2020-04-13	JAAVWG01	864
GCF_012275295.1	bMelUnd1.mat.Z	Melopsittacus undulatus					bMelUnd1	female	GCF_012275295.1-RS_2024_11	Chromosome	2020-04-13	JAAVWG01	864
GCA_023634155.1	bFalPer1.pri	Falco peregrinus					bFalPer1	female		Chromosome	2022-06-02	JAMOAR01	124
GCF_023634155.1	bFalPer1.pri	Falco peregrinus					bFalPer1	female	GCF_023634155.1-RS_2023_04	Chromosome	2022-06-02	JAMOAR01	124
GCA_018139145.2	ASM1813914v2	Gymnogyps californianus					813	female		Chromosome	2022-09-01	JAGKTE02	542
GCF_018139145.2	ASM1813914v2	Gymnogyps californianus					813	female	GCF_018139145.2-RS_2023_02	Chromosome	2022-09-01	JAGKTE02	542
GCA_003829775.2	dark-eyed_junco_22Sep2020_assembly	Junco hyemalis				carolinensis				Chromosome	2022-06-02	QZWM02	4684
GCA_015227805.3	bHirRus1.pri.v3	Hirundo rustica					bHirRus1	female		Chromosome	2021-11-30	JADDRP03	617
GCF_015227805.2	bHirRus1.pri.v3	Hirundo rustica					bHirRus1	female	GCF_015227805.2-RS_2023_07	Chromosome	2021-11-30	JADDRP03	617
GCA_037305975.1	CPswu_hap2	Chrysolophus pictus					Longdong	female		Chromosome	2024-03-20	JAYKPI01	100
GCA_020745825.3	Agelaius phoeniceus 1.1	Agelaius phoeniceus					BioBank_ID:100140	female		Chromosome	2023-03-15	JAIWQD01	440
GCF_020745825.1	Agelaius phoeniceus 1.1	Agelaius phoeniceus					BioBank_ID:100140	female	GCF_020745825.1-RS_2023_03	Chromosome	2023-03-15	JAIWQD01	440
GCA_023634085.1	bFalChe1.pri	Falco cherrug					bFalChe1	female		Chromosome	2022-06-02	JAMOAL01	282
GCF_023634085.1	bFalChe1.pri	Falco cherrug					bFalChe1	female	GCF_023634085.1-RS_2023_04	Chromosome	2022-06-02	JAMOAL01	282
GCA_017976375.1	bCucCan1.pri	Cuculus canorus					bCucCan1	female		Chromosome	2021-04-15	JAGIYT01	150
GCF_017976375.1	bCucCan1.pri	Cuculus canorus					bCucCan1	female	GCF_017976375.1-RS_2023_02	Chromosome	2021-04-15	JAGIYT01	150
GCA_041296385.2	UR_Acoe_1.0	Aphelocoma coerulescens					FSJ_1873_10779	female		Chromosome	2024-10-21	JBGGOT01	659
GCA_041296385.1	UR_Acoe_1.0	Aphelocoma coerulescens					FSJ_1873_10779	female		Chromosome	2024-08-16	JBGGOT01	659
GCF_041296385.1	UR_Acoe_1.0	Aphelocoma coerulescens					FSJ_1873_10779	female	GCF_041296385.1-RS_2024_10	Chromosome	2024-08-16	JBGGOT01	659
GCA_027477595.1	bHaeMex1.pri	Haemorhous mexicanus					bHaeMex1	female		Chromosome	2022-12-29	JAPYKC01	183
GCF_027477595.1	bHaeMex1.pri	Haemorhous mexicanus					bHaeMex1	female	GCF_027477595.1-RS_2023_09	Chromosome	2022-12-29	JAPYKC01	183
GCA_003957555.2	bCalAnn1_v1.p	Calypte anna					BGI_N300	female		Chromosome	2019-05-17	RRCD01	159
GCF_003957555.1	bCalAnn1_v1.p	Calypte anna					BGI_N300	female	NCBI Calypte anna Annotation Release 101	Chromosome	2019-05-16	RRCD01	159
GCA_951411735.1	bSomMol1.h1.1	Somateria mollissima								Chromosome	2023-06-27	CATOCB01	468
GCA_002078875.2	NumMel1.0	Numida meleagris	g44 Domestic line				19003	male		Chromosome	2017-06-01	MTSP01	2738
GCF_002078875.1	NumMel1.0	Numida meleagris	g44 Domestic line				19003	male	NCBI Numida meleagris Annotation Release 100	Chromosome	2017-06-01	MTSP01	2738
GCA_965231245.1	bZosLat1.hap2.1	Zosterops lateralis								Chromosome	2025-03-28	CBDDMO01	818
GCA_005870125.1	lonStrDom2	Lonchura striata					Mets1	male		Chromosome	2019-06-05	SWKX01	2014
GCF_005870125.1	lonStrDom2	Lonchura striata					Mets1	male	GCF_005870125.1-RS_2024_09	Chromosome	2019-06-05	SWKX01	2014
GCA_009819775.1	bPhoRub2.pri	Phoenicopterus ruber ruber					bPhoRub2	female		Chromosome	2019-12-31	WNMK01	90
GCA_034638445.1	ASM3463844v1	Ciconia boyciana					DFBG-1	female		Chromosome	2023-12-27	JAXHEA01	280
GCF_034638445.1	ASM3463844v1	Ciconia boyciana							GCF_034638445.1-RS_2025_04	Chromosome	2023-12-27	JAXHEA01	280
GCA_964304615.2	bScoRus3.2	Scolopax rusticola								Chromosome	2025-05-18	CAYAQP02	123
GCA_029042245.1	ASM2904224v1	Aythya marila					BB-2018	male		Chromosome	2023-03-15	JAOQIG01	125
GCA_014839755.1	bSylBor1.pri	Sylvia borin					bSylBor1	male		Chromosome	2020-10-02	JACEWE01	176
GCA_042478095.1	ASM4247809v1	Aythya ferina				China	TX_2023a	male		Chromosome	2024-10-03	JARZHC01	95
GCA_965286855.1	bVanVan3.1	Vanellus vanellus								Chromosome	2025-06-07	CBDIYJ01	986
GCA_028858725.2	bColStr4.1.hap1	Colius striatus					bColStr4	female		Chromosome	2023-02-24	JARBXP01	190
GCF_028858725.1	bColStr4.1.hap1	Colius striatus					bColStr4	female	GCF_028858725.1-RS_2023_12	Chromosome	2023-02-24	JARBXP01	190
GCA_031885435.1	bPasSan2.pri	Passerculus sandwichensis					bPasSan2	female		Chromosome	2023-09-25	JAVKUW01	109
GCA_028389875.1	bPtePen1.pri	Rhea pennata					bPtePen1	male		Chromosome	2023-02-06	JAQOLV01	179
GCF_028389875.1	bPtePen1.pri	Rhea pennata					bPtePen1	male	GCF_028389875.1-RS_2023_12	Chromosome	2023-02-06	JAQOLV01	179
GCA_014839835.1	bDryPub1.pri	Dryobates pubescens					bDryPub1	female		Chromosome	2020-10-02	JACNMV01	180
GCF_014839835.1	bDryPub1.pri	Dryobates pubescens					bDryPub1	female	GCF_014839835.1-RS_2023_03	Chromosome	2020-10-02	JACNMV01	180
GCA_929443795.2	bAccGen1.2	Astur gentilis								Chromosome	2022-10-27	CAKNBG02	454
GCA_929443795.1	bAccGen1.1	Astur gentilis								Chromosome	2022-02-09	CAKNBG01	454
GCF_929443795.1	bAccGen1.1	Astur gentilis							GCF_929443795.1-RS_2023_02	Chromosome	2022-02-09	CAKNBG01	454
GCA_045269165.1	RI_Zcap_1.0	Zonotrichia capensis				Chile	ZW-2024a	female		Chromosome	2024-11-25	JBFRCP01	1673
GCA_015220075.1	bFalRus1.pri	Falco rusticolus					bFalRus1	female		Chromosome	2020-11-03	JADCQO01	132
GCF_015220075.1	bFalRus1.pri	Falco rusticolus					bFalRus1	female	NCBI Falco rusticolus Annotation Release 100	Chromosome	2020-11-03	JADCQO01	132
GCA_025583725.1	ASM2558372v1	Anser indicus					BHG01	female		Chromosome	2022-10-06	JANSVC01	484
GCA_009819885.2	bCatUst1.pri.v2	Catharus ustulatus					bCatUst1	female		Chromosome	2020-12-22	WNMQ02	160
GCF_009819885.2	bCatUst1.pri.v2	Catharus ustulatus					bCatUst1	female	NCBI Catharus ustulatus Annotation Release 101	Chromosome	2020-12-22	WNMQ02	160
GCA_947461875.1	bHalAlb1.1	Haliaeetus albicilla								Chromosome	2022-12-06	CANHOD01	188
GCF_947461875.1	bHalAlb1.1	Haliaeetus albicilla							GCF_947461875.1-RS_2024_11	Chromosome	2022-12-06	CANHOD01	188
GCA_035666275.1	chu_hap1.0	Alectoris chukar	F-21					female		Chromosome	2024-01-17	JAXHPU01	186
GCA_023343835.1	bLagMut1 primary	Lagopus muta					bLagMut1	female		Chromosome	2022-05-12	JAMCCT01	164
