Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCA_037993035.2	T2T-MFA8v1.1	Macaca fascicularis								Complete Genome	2024-09-18		22
GCF_037993035.2	T2T-MFA8v1.1	Macaca fascicularis					582-1	female	GCF_037993035.2-RS_2025_03	Complete Genome	2024-09-18		22
GCA_047496845.1	LepYark_1.0	Lepus yarkandensis						female		Complete Genome	2025-02-07	JBLBFC01	24
GCA_019923935.1	NDDB_SH_1	Bubalus bubalis	Murrah				160015118507	female		Chromosome	2021-09-10	VDCB01	25
GCF_019923935.1	NDDB_SH_1	Bubalus bubalis	Murrah				160015118507	female	NCBI Bubalus bubalis Annotation Release 103	Chromosome	2021-09-10	VDCB01	25
GCA_028858775.3	NHGRI_mPanTro3-v2.1_pri	Pan troglodytes					AG18354	male		Chromosome	2024-12-09	JAQQLN02	25
GCF_028858775.2	NHGRI_mPanTro3-v2.1_pri	Pan troglodytes					AG18354	male	GCF_028858775.2-RS_2024_02	Chromosome	2024-01-08	JAQQLN02	25
GCA_029281585.3	NHGRI_mGorGor1-v2.1_pri	Gorilla gorilla gorilla					KB3781	male		Chromosome	2024-08-01	JARGGP02	25
GCF_029281585.2	NHGRI_mGorGor1-v2.1_pri	Gorilla gorilla gorilla					KB3781	male	GCF_029281585.2-RS_2025_04	Chromosome	2024-01-08	JARGGP02	25
GCA_028885625.3	NHGRI_mPonPyg2-v2.1_pri	Pongo pygmaeus					AG05252	male		Chromosome	2024-01-08	JAQQLS02	25
GCF_028885625.2	NHGRI_mPonPyg2-v2.1_pri	Pongo pygmaeus					AG05252	male	GCF_028885625.2-RS_2024_02	Chromosome	2024-01-08	JAQQLS02	25
GCA_048593235.1	ASM4859323v1	Sminthopsis crassicaudata					SCR6	female		Chromosome	2025-03-17	JBMDME01	7
GCF_048593235.1	ASM4859323v1	Sminthopsis crassicaudata					SCR6	female	GCF_048593235.1-RS_2025_05	Chromosome	2025-03-17	JBMDME01	7
GCA_047372625.1	UCONN_HLeu1	Hoolock leuconedys					Betty	female		Chromosome	2025-02-03	JBHMFN01	19
GCA_047496905.1	ASM4749690v1	Tamias sibiricus					Ts-1	male		Chromosome	2025-02-07	JBKZWZ01	19
GCA_028878055.3	NHGRI_mSymSyn1-v2.1_pri	Symphalangus syndactylus					Jambi	male		Chromosome	2024-06-20	JAQQLG02	26
GCF_028878055.3	NHGRI_mSymSyn1-v2.1_pri	Symphalangus syndactylus					Jambi	male	GCF_028878055.3-RS_2024_07	Chromosome	2024-01-05	JAQQLG02	26
GCA_048593245.1	ASM4859324v1	Dasyurus maculatus					Chaos	male		Chromosome	2025-03-17	JBMDMB01	6
GCA_026225855.1	ASM2622585v1	Neophocaena sunameri					NAS202207	male		Chromosome	2022-11-18	JANJGR01	23
GCA_907164505.1	mAcoKem2_REL_1905	Acomys kempi								Chromosome	2021-07-06		19
GCA_000001405.29	GRCh38.p14	Homo sapiens								Chromosome	2022-02-03		473
GCF_000001405.40	GRCh38.p14	Homo sapiens							GCF_000001405.40-RS_2024_08	Chromosome	2022-02-03		470
GCA_000001635.9	GRCm39	Mus musculus		C57BL/6J						Chromosome	2020-06-24		101
GCF_000001635.27	GRCm39	Mus musculus		C57BL/6J					GCF_000001635.27-RS_2024_02	Chromosome	2020-06-24		101
GCA_036323735.1	GRCr8	Rattus norvegicus		BN/NHsdMcwi				male		Chromosome	2024-01-31	JAXUCZ01	76
GCF_036323735.1	GRCr8	Rattus norvegicus		BN/NHsdMcwi				male	GCF_036323735.1-RS_2024_02	Chromosome	2024-01-31	JAXUCZ01	76
GCA_000003025.6	Sscrofa11.1	Sus scrofa	Duroc				TJ Tabasco	female		Chromosome	2017-02-07	AEMK02	705
GCF_000003025.6	Sscrofa11.1	Sus scrofa	Duroc				TJ Tabasco	female	NCBI Sus scrofa Annotation Release 106	Chromosome	2017-02-07	AEMK02	705
GCA_002263795.4	ARS-UCD2.0	Bos taurus	Hereford				L1 Dominette 01449 registration number 42190680	female		Chromosome	2023-07-01	NKLS02	1957
GCF_002263795.3	ARS-UCD2.0	Bos taurus	Hereford				L1 Dominette 01449 registration number 42190680	female	GCF_002263795.3-RS_2024_12	Chromosome	2023-07-01	NKLS02	1957
GCA_011100685.1	UU_Cfam_GSD_1.0	Canis lupus familiaris	German Shepherd				Mischka	female		Chromosome	2020-03-10	JAAHUQ01	2197
GCF_011100685.1	UU_Cfam_GSD_1.0	Canis lupus familiaris	German Shepherd				Mischka	female	NCBI Canis lupus familiaris Annotation Release 106	Chromosome	2020-03-10	JAAHUQ01	2197
GCA_003254725.2	ASM325472v2	Canis lupus dingo					Sandy	female		Chromosome	2020-09-11	QKWQ02	159
GCF_003254725.2	ASM325472v2	Canis lupus dingo					Sandy	female	NCBI Canis lupus dingo Annotation Release 102	Chromosome	2020-09-11	QKWQ02	159
GCA_048164855.1	mCanLup2.hap1	Canis lupus baileyi					mCanLup2	male		Chromosome	2025-02-27	JBLSAG01	249
GCF_048164855.1	mCanLup2.hap1	Canis lupus baileyi							GCF_048164855.1-RS_2025_03	Chromosome	2025-02-27	JBLSAG01	249
GCA_003339765.3	Mmul_10	Macaca mulatta					AG07107	female		Chromosome	2019-02-13	QNVO02	2978
GCF_003339765.1	Mmul_10	Macaca mulatta							NCBI Macaca mulatta Annotation Release 103	Chromosome	2019-02-13	QNVO02	2978
GCA_016772045.2	ARS-UI_Ramb_v3.0	Ovis aries	Rambouillet	OAR_USU_Benz2616				female		Chromosome	2023-07-20	JAEVFA01	142
